iter	Passed	Remaining
0	135	13393
1	137	6719
2	138	4485
3	140	3371
4	142	2698
5	143	2250
6	145	1928
7	146	1688
8	148	1502
9	150	1351
10	151	1227
11	153	1124
12	154	1036
13	156	961
14	158	896
15	159	838
16	161	787
17	163	744
18	164	703
19	166	665
20	168	632
21	169	601
22	171	572
23	172	547
24	174	523
25	177	504
26	179	484
27	180	464
28	182	446
29	183	428
30	185	413
31	187	398
32	188	383
33	190	369
34	192	357
35	194	345
36	195	333
37	197	321
38	198	310
39	200	300
40	202	290
41	204	281
42	205	272
43	207	264
44	209	255
45	210	247
46	212	239
47	213	231
48	215	224
49	217	217
50	218	210
51	220	203
52	222	197
53	224	190
54	225	184
55	227	178
56	229	172
57	230	166
58	232	161
59	233	155
60	235	150
61	237	145
62	238	140
63	240	135
64	241	130
65	243	125
66	245	120
67	246	116
68	248	111
69	251	107
70	253	103
71	255	99
72	257	95
73	258	90
74	260	86
75	262	82
76	264	78
77	265	74
78	267	71
79	268	67
80	270	63
81	272	59
82	273	56
83	275	52
84	278	49
85	280	45
86	281	42
87	283	38
88	284	35
89	286	31
90	287	28
91	289	25
92	290	21
93	292	18
94	293	15
95	295	12
96	297	9
97	298	6
98	300	3
99	301	0
